query,entity,predicate,sparql_query
Is Peter Piper Pizza in the pizza industry?,Peter_Piper_Pizza,industry,4.567684509289321,ASK WHERE { <http://dbpedia.org/resource/Peter_Piper_Pizza> <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Pizza> }
Is William H Blanchard buried in Colorado?,Colorado,sport,1.708340188249566,ASK WHERE { <http://dbpedia.org/resource/William_H._Blanchard> <http://dbpedia.org/property/placeofburial> <http://dbpedia.org/resource/Colorado> }
is blue lagoon island a part of the bahamas achipelago?,Blue_Lagoon_Island,numberOfIslands,4.511101046214119,ASK WHERE { <http://dbpedia.org/resource/Blue_Lagoon_Island> <http://dbpedia.org/ontology/archipelago> <http://dbpedia.org/resource/The_Bahamas> }
Did the New Way party merge in the One Israel party?,New_Way_(Israel),mergedIntoParty,3.929339878499432,ASK WHERE { <http://dbpedia.org/resource/New_Way_(Israel)> <http://dbpedia.org/ontology/mergedIntoParty> <http://dbpedia.org/resource/One_Israel> }
Is Seattle the Ship builder of USS Marmora (IX-189)?,USS_Marmora_(IX-189),builder,7.375038552173714,ASK WHERE { <http://dbpedia.org/resource/USS_Marmora_(IX-189)> <http://dbpedia.org/property/shipBuilder> <http://dbpedia.org/resource/Seattle> }
Is Tirana the largest city of Albania?,Tirana,areaMunic,3.5628584491834143,ASK WHERE { <http://dbpedia.org/resource/Albania> <http://dbpedia.org/property/largestCity> <http://dbpedia.org/resource/Tirana> }
Is Ombla originate in Croatia?,Ombla,sourceLongS,3.3411327237106265,ASK WHERE { <http://dbpedia.org/resource/Ombla> <http://dbpedia.org/ontology/sourceMountain> <http://dbpedia.org/resource/Croatia> }
Did Timm Gunn guest in Sunrise (HIMYM)?,Sunrise_(How_I_Met_Your_Mother),guest,6.3750394313469245,ASK WHERE { <http://dbpedia.org/resource/Sunrise_(How_I_Met_Your_Mother)> <http://dbpedia.org/property/guests> <http://dbpedia.org/resource/Tim_Gunn> }
Was Don't Bring Me Down recorded in West Germany?,West_Germany,titleDeputy,3.0689160807289677,ASK WHERE { <http://dbpedia.org/resource/Don't_Bring_Me_Down> <http://dbpedia.org/property/recorded> <http://dbpedia.org/resource/West_Germany> }
Is Henry David Thoreau interested in Politics?,Henry_David_Thoreau,onlinebooks,2.6978346518217036,ASK WHERE { <http://dbpedia.org/resource/Henry_David_Thoreau> <http://dbpedia.org/property/mainInterests> <http://dbpedia.org/resource/Politics> }
Does the Ontario International Airport serve the Inland Empire?,Ontario_International_Airport,runwayLength,3.354601217716845,ASK WHERE { <http://dbpedia.org/resource/Ontario_International_Airport> <http://dbpedia.org/property/cityServed> <http://dbpedia.org/resource/Inland_Empire> }
Is semnani one of the languages spoken in Iran?,Iran,languagesType,3.6266174870373504,ASK WHERE { <http://dbpedia.org/resource/Iran> <http://dbpedia.org/property/languages> <http://dbpedia.org/resource/Semnani_languages> }
Was John muir one of the first to ascend a mountain on Mt hoffmann?,John,abstract,0.02656759808140512,ASK WHERE { <http://dbpedia.org/resource/Mount_Hoffmann> <http://dbpedia.org/ontology/firstAscentPerson> <http://dbpedia.org/resource/John_Muir> }
Was John Boehner the winner of the US House of Representatives elections in Ohio in 2010?,"United_States_House_of_Representatives_elections_in_Ohio,_2006",winner,7.375041189693347,"ASK WHERE { <http://dbpedia.org/resource/United_States_House_of_Representatives_elections_in_Ohio,_2010> <http://dbpedia.org/property/incumbent> <http://dbpedia.org/resource/John_Boehner> }"
Is Hyundai Lavita assembled in Malaysia?,Hyundai_Lavita,assembly,2.6230631636642987,ASK WHERE { <http://dbpedia.org/resource/Hyundai_Lavita> <http://dbpedia.org/ontology/assembly> <http://dbpedia.org/resource/Malaysia> }
Is the Hyundai Lavita assembled in Ulsan?,Ulsan,parts,3.514591839898424,ASK WHERE { <http://dbpedia.org/resource/Hyundai_Lavita> <http://dbpedia.org/property/assembly> <http://dbpedia.org/resource/Ulsan> }
Does Fa'a' International Airport serve tahiti too?,Tahiti,countryAdminDivisionsTitle,2.915856362620811,ASK WHERE { <http://dbpedia.org/resource/Fa'a'ā_International_Airport> <http://dbpedia.org/property/cityServed> <http://dbpedia.org/resource/Tahiti> }
Is God Save the Queen the national anthem of United Kingdom?,God_Save_the_Queen,soundTitle,3.9523152575809024,ASK WHERE { <http://dbpedia.org/resource/United_Kingdom> <http://dbpedia.org/property/nationalAnthem> <http://dbpedia.org/resource/God_Save_the_Queen> }
Was christina crawford trained by Booker T?,Christina_Crawford_(wrestler),trainer,3.451582039683926,ASK WHERE { <http://dbpedia.org/resource/Christina_Crawford_(wrestler)> <http://dbpedia.org/property/trainer> <http://dbpedia.org/resource/Booker_T_(wrestler)> }
Is morrissey in the smiths?,Morrissey,associatedBand,2.031836344795388,ASK WHERE { <http://dbpedia.org/resource/Morrissey> <http://dbpedia.org/ontology/associatedBand> <http://dbpedia.org/resource/The_Smiths> }
Was True Grit a novel of the western genre?,True_Grit_(novel),literaryGenre,5.371616887833652,ASK WHERE { <http://dbpedia.org/resource/True_Grit_(novel)> <http://dbpedia.org/ontology/literaryGenre> <http://dbpedia.org/resource/Western_(genre)> }
Was Lucrezia Tornabuoni the mother of Lorenzo de' Medici?,Lucrezia_Tornabuoni,mother,7.3750394313469245,ASK WHERE { <http://dbpedia.org/resource/Lorenzo_de'_Medici> <http://dbpedia.org/property/mother> <http://dbpedia.org/resource/Lucrezia_Tornabuoni> }
Did Umkhonto we Sizwe had Nelson Mandela as a commander?,Nelson_Mandela,deputy,3.1012963101768687,ASK WHERE { <http://dbpedia.org/resource/Umkhonto_we_Sizwe> <http://dbpedia.org/property/notableCommanders> <http://dbpedia.org/resource/Nelson_Mandela> }
Was Kevin Rudd the PM of Julia Gillard?,Julia_Gillard,termStart,1.6774047908839285,ASK WHERE { <http://dbpedia.org/resource/Julia_Gillard> <http://dbpedia.org/ontology/primeMinister> <http://dbpedia.org/resource/Kevin_Rudd> }
Does Dan River flow into the Jordan Valley?,Into_the_Valley,bSide,1.3559569822916053,ASK WHERE { <http://dbpedia.org/resource/Jordan_River> <http://dbpedia.org/ontology/leftTributary> <http://dbpedia.org/resource/Dan_River_(Middle_East)> }
Is Amharic the official language of Ethiopia?,Ethiopia,regionalLanguage,5.7098084420193365,ASK WHERE { <http://dbpedia.org/resource/Ethiopia> <http://dbpedia.org/ontology/officialLanguage> <http://dbpedia.org/resource/Amharic> }
Was Love Hurts in Short Cut Draw Blood?,Love_Hurts,salesamount,2.3171399034385423,ASK WHERE { <http://dbpedia.org/resource/Love_Hurts> <http://dbpedia.org/property/album> <http://dbpedia.org/resource/Short_Cut_Draw_Blood> }
Is the book The Buddha and his Dhamma a book about Buddhism?,Mahima_Dharma,separatedFrom,3.7766379873817018,ASK WHERE { <http://dbpedia.org/resource/The_Buddha_and_His_Dhamma> <http://dbpedia.org/ontology/literaryGenre> <http://dbpedia.org/resource/Buddhism> }
Does Jevan Snead play as Quarterback?,Jevan_Snead,undraftedYear,3.0957625139006706,ASK WHERE { <http://dbpedia.org/resource/Jevan_Snead> <http://dbpedia.org/property/position> <http://dbpedia.org/resource/Quarterback> }
Does Cascade Airways have a hub in Seattle?,Cascade_Airways,hubAirport,5.917531575760211,ASK WHERE { <http://dbpedia.org/resource/Cascade_Airways> <http://dbpedia.org/ontology/hubAirport> <http://dbpedia.org/resource/Seattle> }
Was James maker in the band Noko?,Noko,associatedBand,3.6092995188208086,ASK WHERE { <http://dbpedia.org/resource/Noko> <http://dbpedia.org/ontology/associatedBand> <http://dbpedia.org/resource/James_Maker> }
Was Nick Jonas a member of the Jonas Brothers?,Jonas_Brothers,formerBandMember,4.406791971321699,ASK WHERE { <http://dbpedia.org/resource/Jonas_Brothers> <http://dbpedia.org/property/pastMembers> <http://dbpedia.org/resource/Nick_Jonas> }
Is jim harbaugh currently in the Michigan Wolverines?,Michigan_Wolverines,teams,3.1013085583090865,ASK WHERE { <http://dbpedia.org/resource/Jim_Harbaugh> <http://dbpedia.org/property/currentteam> <http://dbpedia.org/resource/Michigan_Wolverines> }
Does the US route 281 have a junction at San Antonio?,U.S._Route_281,routeJunction,6.628460046906837,ASK WHERE { <http://dbpedia.org/resource/U.S._Route_281> <http://dbpedia.org/property/junction> <http://dbpedia.org/resource/San_Antonio> }
Was Queen Latifah in the U.N.I.T.Y. group?,Queen_Latifah,homeTown,3.0595095867509636,ASK WHERE { <http://dbpedia.org/resource/U.N.I.T.Y.> <http://dbpedia.org/ontology/musicalArtist> <http://dbpedia.org/resource/Queen_Latifah> }
Did Annie Leibovitz do the cover of The Road Ahead?,The_Road_Ahead_(album),thisAlbum,3.560796788003573,ASK WHERE { <http://dbpedia.org/resource/The_Road_Ahead_(Bill_Gates_book)> <http://dbpedia.org/ontology/coverArtist> <http://dbpedia.org/resource/Annie_Leibovitz> }
Is Pittsburgh Steelers the former team of Marv McFadden?,Marv_McFadden,formerTeam,6.3750394313469245,ASK WHERE { <http://dbpedia.org/resource/Marv_McFadden> <http://dbpedia.org/property/pastteams> <http://dbpedia.org/resource/Pittsburgh_Steelers> }
Is Maria Sharapova the silver medalist of Tennis at the 2012 Summer Olympics  Women's singles?,Tennis_at_the_2012_Summer_Olympics,championInDoubleFemale,4.403343862845652,ASK WHERE { <http://dbpedia.org/resource/Tennis_at_the_2012_Summer_Olympics_–_Women's_singles> <http://dbpedia.org/ontology/silverMedalist> <http://dbpedia.org/resource/Maria_Sharapova> }
Is Charles Drummond Ellis a doctoral student of James Chadwick?,James_Chadwick,doctoralStudent,7.375038552173714,ASK WHERE { <http://dbpedia.org/resource/James_Chadwick> <http://dbpedia.org/ontology/doctoralStudent> <http://dbpedia.org/resource/Charles_Drummond_Ellis> }
"Does the St lawrence river start in Kingston, Ontario?","Kingston,_Ontario",isPartOf,3.1944842584060615,"ASK WHERE { <http://dbpedia.org/resource/Saint_Lawrence_River> <http://dbpedia.org/ontology/sourceMountain> <http://dbpedia.org/resource/Kingston,_Ontario> }"
Is Mike Babcock the head coach of Toronto Maple Leafs?,Mike_Babcock,yearsAsACoach,6.049210183027317,ASK WHERE { <http://dbpedia.org/resource/Toronto_Maple_Leafs> <http://dbpedia.org/property/headCoach> <http://dbpedia.org/resource/Mike_Babcock> }
Is George Lucas the cinematographer of 6-18-67?,George_Lucas,networth,2.5866873765515446,ASK WHERE { <http://dbpedia.org/resource/6-18-67> <http://dbpedia.org/property/cinematography> <http://dbpedia.org/resource/George_Lucas> }
Was John Muir the first one to ascend one of the peaks in the cathedral peak?,John_Muir,knownFor,2.74499412464727,ASK WHERE { <http://dbpedia.org/resource/Cathedral_Peak_(California)> <http://dbpedia.org/ontology/firstAscentPerson> <http://dbpedia.org/resource/John_Muir> }
Was Tim Gunn a guest on The Broken Code?,The_Broken_Code,guest,6.3750394313469245,ASK WHERE { <http://dbpedia.org/resource/The_Broken_Code> <http://dbpedia.org/property/guests> <http://dbpedia.org/resource/Tim_Gunn> }
Was Morrissey a member of the Smiths?,The_Smiths,formerBandMember,4.406791971321699,ASK WHERE { <http://dbpedia.org/resource/The_Smiths> <http://dbpedia.org/ontology/formerBandMember> <http://dbpedia.org/resource/Morrissey> }
Did Phillippe Cabot go to Columbia for studying?,Ryan_Phillippe,activeYearsStartYear,1.663310149535347,ASK WHERE { <http://dbpedia.org/resource/Phillippe_Cabot> <http://dbpedia.org/ontology/university> <http://dbpedia.org/resource/Columbia_University> }
Was Marshall Arisman the cover artist in american psycho?,American_Psycho,coverArtist,7.3750394313469245,ASK WHERE { <http://dbpedia.org/resource/American_Psycho> <http://dbpedia.org/property/coverArtist> <http://dbpedia.org/resource/Marshall_Arisman> }
Is Egyptian Arabic belong to the Central Semitic Languages family?,Egypt,mainForeignLanguage,3.0702708866471493,ASK WHERE { <http://dbpedia.org/resource/Egyptian_Arabic> <http://dbpedia.org/ontology/languageFamily> <http://dbpedia.org/resource/Central_Semitic_languages> }
"Was Francisco Pizarro of the monarch of Charles 5, of the roman empire?",Francisco_Pizarro,monarch,6.375039051364964,"ASK WHERE { <http://dbpedia.org/resource/Francisco_Pizarro> <http://dbpedia.org/ontology/monarch> <http://dbpedia.org/resource/Charles_V,_Holy_Roman_Emperor> }"
Is Andrew Lincoln the narrator of Million Dollar Traders?,Million_Dollar_Traders,narrator,7.3750394313469245,ASK WHERE { <http://dbpedia.org/resource/Million_Dollar_Traders> <http://dbpedia.org/ontology/narrator> <http://dbpedia.org/resource/Andrew_Lincoln> }
Is the Hyundai Lavita assembled in Kulim?,Hyundai_Lavita,relatedMeanOfTransportation,2.863792276046135,ASK WHERE { <http://dbpedia.org/resource/Hyundai_Lavita> <http://dbpedia.org/ontology/assembly> <http://dbpedia.org/resource/Kulim> }
Is Essex the Ceremonial County of West Tilbury?,Essex,areaCouncilRank,3.2294884957829386,ASK WHERE { <http://dbpedia.org/resource/West_Tilbury> <http://dbpedia.org/ontology/ceremonialCounty> <http://dbpedia.org/resource/Essex> }
Does Mauritius follow a parliamentary republic?,Mauritius_national_under-20_football_team,no,2.0038625746027146,ASK WHERE { <http://dbpedia.org/resource/Mauritius> <http://dbpedia.org/property/governmentType> <http://dbpedia.org/resource/Parliamentary_republic> }
Did Jerry Rice study in Oktoc Mississippi?,"Oktoc,_Mississippi",abstract,0.015291566334466846,"ASK WHERE { <http://dbpedia.org/resource/Jerry_Rice> <http://dbpedia.org/property/highSchool> <http://dbpedia.org/resource/Oktoc,_Mississippi> }"
Is north caucasian emirate have an islamic government?,North_Caucasian_Emirate,titleLeader,3.8739070739293067,ASK WHERE { <http://dbpedia.org/resource/North_Caucasian_Emirate> <http://dbpedia.org/ontology/governmentType> <http://dbpedia.org/resource/Islam> }
Is fox belong to the phylum of Chordate?,Chordate,taxon,3.9973969275587526,ASK WHERE { <http://dbpedia.org/resource/Fox> <http://dbpedia.org/ontology/phylum> <http://dbpedia.org/resource/Chordate> }
Is Henry Knox a commander of Continental Artillery Regiment?,Henry_Knox,militaryCommand,5.461147486880534,ASK WHERE { <http://dbpedia.org/resource/Continental_Artillery_Regiment> <http://dbpedia.org/ontology/notableCommander> <http://dbpedia.org/resource/Henry_Knox> }
Is Baker's Dozen Donuts in the coffee industry?,Baker's_Dozen_Donuts,industry,4.567684509289321,ASK WHERE { <http://dbpedia.org/resource/Baker's_Dozen_Donuts> <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Coffee> }
Is Nikolai Morozov the former coach of Stanislav Morozov?,Stanislav_Morozov,formerCoach,6.375040191310846,ASK WHERE { <http://dbpedia.org/resource/Stanislav_Morozov> <http://dbpedia.org/ontology/formerCoach> <http://dbpedia.org/resource/Nikolai_Morozov_(figure_skater)> }
Did Alexandre Tichonov study at the Moscow university?,Moscow,popDensityAsOf,3.716237908611426,ASK WHERE { <http://dbpedia.org/resource/Alexandre_Tichonov> <http://dbpedia.org/property/university> <http://dbpedia.org/resource/Moscow> }
Does Timothy Morton study Buddhism?,Timothy_Morton,notableIdeas,2.650222367199014,ASK WHERE { <http://dbpedia.org/resource/Timothy_Morton> <http://dbpedia.org/property/mainInterests> <http://dbpedia.org/resource/Buddhism> }
Does Chicago own the Monroe Station?,Monroe_station_(CTA_Blue_Line),visitorStatisticsAsOf,4.019430461336948,ASK WHERE { <http://dbpedia.org/resource/Monroe_station_(CTA_Blue_Line)> <http://dbpedia.org/property/owned> <http://dbpedia.org/resource/Chicago> }
Was andy warhol a part of Pop Art movement?,Andy_Warhol,small,2.1344298339804033,ASK WHERE { <http://dbpedia.org/resource/Andy_Warhol> <http://dbpedia.org/property/movement> <http://dbpedia.org/resource/Pop_art> }
Did Bob Dylan write the lyrics of the times they are a changin'?,The_Times_They_Are_a-Changin'_(musical),lyrics,7.375038991760319,ASK WHERE { <http://dbpedia.org/resource/The_Times_They_Are_a-Changin'_(musical)> <http://dbpedia.org/property/lyrics> <http://dbpedia.org/resource/Bob_Dylan> }
Is Brazilian jiu-jitsu the trainer of Nick Diaz?,Nick_Diaz,trainer,5.7900769306257684,ASK WHERE { <http://dbpedia.org/resource/Nick_Diaz> <http://dbpedia.org/ontology/trainer> <http://dbpedia.org/resource/Brazilian_jiu-jitsu> }
Is Cologny a neighbouring city of Geneva?,Geneva,executiveNumberOfMembers,4.322018142893287,ASK WHERE { <http://dbpedia.org/resource/Geneva> <http://dbpedia.org/property/neighboringMunicipalities> <http://dbpedia.org/resource/Cologny> }
Did Raymond Picard take birth in Paris?,Paris_Theodore,deathYear,3.575531989426416,ASK WHERE { <http://dbpedia.org/resource/Raymond_Picard> <http://dbpedia.org/property/birthplace> <http://dbpedia.org/resource/Paris> }
Was Elton John a chairman of a Watford FC Season?,2002–03_Watford_F.C._season,chairman,6.375040191310846,ASK WHERE { <http://dbpedia.org/resource/1999–2000_Watford_F.C._season> <http://dbpedia.org/ontology/chairman> <http://dbpedia.org/resource/Elton_John> }
Was Cliff Burton in Metallica?,Metallica,bandMember,2.1120729717614615,ASK WHERE { <http://dbpedia.org/resource/Metallica> <http://dbpedia.org/property/pastMembers> <http://dbpedia.org/resource/Cliff_Burton> }
Does StandBy records distribute via Sony?,StandBy_Records,distributingCompany,3.815294372696331,ASK WHERE { <http://dbpedia.org/resource/StandBy_Records> <http://dbpedia.org/ontology/distributingLabel> <http://dbpedia.org/resource/Sony> }
Did John Byrne create Emma Frost?,John_Byrne_(comics),write,3.3360324201201976,ASK WHERE { <http://dbpedia.org/resource/Emma_Frost> <http://dbpedia.org/property/creators> <http://dbpedia.org/resource/John_Byrne_(comics)> }
Was Heinrich Himmler ever a commanders of Army Group Oberrhein?,Army_Group_Oberrhein_(Germany),notableCommander,4.363622401368822,ASK WHERE { <http://dbpedia.org/resource/Army_Group_Oberrhein_(Germany)> <http://dbpedia.org/property/notableCommanders> <http://dbpedia.org/resource/Heinrich_Himmler> }
Is greasy pop recording the distributor of festival records?,Festival_Records,distributingCompany,4.252981153951942,ASK WHERE { <http://dbpedia.org/resource/Greasy_Pop_Records> <http://dbpedia.org/ontology/distributingLabel> <http://dbpedia.org/resource/Festival_Records> }
Is Sloth in the Chordate phylum?,Sloth,phylum,7.3750394313469245,ASK WHERE { <http://dbpedia.org/resource/Sloth> <http://dbpedia.org/property/phylum> <http://dbpedia.org/resource/Chordate> }
Is Albert P Clark buried in Colorado?,Colorado,sport,1.708340188249566,ASK WHERE { <http://dbpedia.org/resource/Albert_P._Clark> <http://dbpedia.org/property/placeofburial> <http://dbpedia.org/resource/Colorado> }
Is Christchurch the largest city of South Island?,South_Island,longestRiver,3.695457331009155,ASK WHERE { <http://dbpedia.org/resource/South_Island> <http://dbpedia.org/ontology/largestCity> <http://dbpedia.org/resource/Christchurch> }
Does AMC Gremlin have the Volkswagen engine?,AMC_Gremlin,engine,5.3750394313469245,ASK WHERE { <http://dbpedia.org/resource/AMC_Gremlin> <http://dbpedia.org/property/engine> <http://dbpedia.org/resource/Volkswagen> }
Is Anne Hidalgo the mayor of Paris?,Paris,mayor,5.79007658551029,ASK WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> <http://dbpedia.org/resource/Anne_Hidalgo> }
Is the Vadodara railway junction onwed by Indian Railway Ministry?,Vadodara_Junction_railway_station,numberOfTracks,3.4654852595358765,ASK WHERE { <http://dbpedia.org/resource/Vadodara_Junction_railway_station> <http://dbpedia.org/ontology/owningOrganisation> <http://dbpedia.org/resource/Ministry_of_Railways_(India)> }
Is Latin the official language of Sovereign Military Order of Malta?,Sovereign_Military_Order_of_Malta,officialWebsite,6.7969830451013635,ASK WHERE { <http://dbpedia.org/resource/Sovereign_Military_Order_of_Malta> <http://dbpedia.org/ontology/officialLanguage> <http://dbpedia.org/resource/Latin> }
Does Ford own the Ford Kansas Assembly plant?,Ford_Kansas_City_Assembly_Plant,freeType,1.6002821782601466,ASK WHERE { <http://dbpedia.org/resource/Ford_Kansas_City_Assembly_Plant> <http://dbpedia.org/ontology/owningOrganisation> <http://dbpedia.org/resource/Ford_Motor_Company> }
Did Stanlee write the Tales of Suspense?,Tales_of_Suspense,mainCharTeam,2.4729562112141985,ASK WHERE { <http://dbpedia.org/resource/Tales_of_Suspense> <http://dbpedia.org/property/writers> <http://dbpedia.org/resource/Stan_Lee> }
does the US navy have the structure of command of us department of defence?,United_States,areaData,2.7649995343986102,ASK WHERE { <http://dbpedia.org/resource/United_States_Navy> <http://dbpedia.org/property/commandStructure> <http://dbpedia.org/resource/United_States_Department_of_Defense> }
